title,image_url,rating,price,result_type
"acer Aspire Lite, AMD Ryzen 3 5300U Processor,...",https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,4.0 out of 5 stars,₹46990.00,Organic
"ASUS Vivobook Go 15 (2025), AMD Ryzen 5...",https://m.media-amazon.com/images/I/61EDWCjLk8L._AC_UY218_.jpg,4.2 out of 5 stars,₹53989.00,Organic
acer Aspire Lite 12th Gen Intel Core i3-1215U...,https://m.media-amazon.com/images/I/71JEGsayyGL._AC_UY218_.jpg,4.1 out of 5 stars,₹46990.00,Organic
"ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB...",https://m.media-amazon.com/images/I/61tjQ9CkAhL._AC_UY218_.jpg,,₹124990.00,Organic
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5,...",https://m.media-amazon.com/images/I/71JcEk00fqL._AC_UY218_.jpg,4.2 out of 5 stars,₹47990.00,Organic
Apple 2026 MacBook Air 13″ laptop with M5...,https://m.media-amazon.com/images/I/71OjWwgFuEL._AC_UY218_.jpg,5.0 out of 5 stars,₹119900.00,Ad
HP Professional 14 (2026) – Intel Core 5...,https://m.media-amazon.com/images/I/51oZp2EkLjL._AC_UY218_.jpg,5.0 out of 5 stars,₹61999.00,Organic
𝗗𝗲𝗹𝗹Laptop Model 5400 | 𝗜𝗡𝗧𝗘𝗟i5 8th Gen Processor...,https://m.media-amazon.com/images/I/31q2-8TNSZL._AC_UY218_.jpg,,₹25800.00,Organic
"HP 15, AMD Ryzen 5 7520U (8GB LPDDR5,...",https://m.media-amazon.com/images/I/71GVVSSUsML._AC_UY218_.jpg,,₹52690.00,Organic
"acer Aspire 14, 13th Gen, Intel Core i7-13620H...",https://m.media-amazon.com/images/I/71SC8V59NjL._AC_UY218_.jpg,3.7 out of 5 stars,₹65990.00,Organic
𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor...,https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,5.0 out of 5 stars,₹30490.00,Organic
"Lenovo ThinkBook 16, AMD Ryzen 5 7535HS, 16GB...",https://m.media-amazon.com/images/I/51+50luRJkL._AC_UY218_.jpg,4.1 out of 5 stars,₹61377.00,Ad
Lenovo Legion Pro 7 2025 Intel Core Ultra...,https://m.media-amazon.com/images/I/81c6CME0d9L._AC_UY218_.jpg,5.0 out of 5 stars,₹472490.00,Organic
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 7...",https://m.media-amazon.com/images/I/71YeigfZCuL._AC_UY218_.jpg,4.4 out of 5 stars,₹99990.00,Organic
"acer Predator Helios 16 AI, Intel Core Ultra...",https://m.media-amazon.com/images/I/51q3f4NuyIL._AC_UY218_.jpg,3.2 out of 5 stars,₹440999.00,Organic
"Alienware 18 Area-51 Gaming Laptop, AI Enabled Core...",https://m.media-amazon.com/images/I/71VfI6VCi2L._AC_UY218_.jpg,5.0 out of 5 stars,₹412490.00,Organic
"MSI Raider 18, Intel Series 2 Core Ultra...",https://m.media-amazon.com/images/I/71oTMGyCbhL._AC_UY218_.jpg,3.0 out of 5 stars,₹499990.00,Organic
"MSI Raider Gaming Laptop,Intel Core Ultra 9 285HX+24GB...",https://m.media-amazon.com/images/I/51oVfg0-3TL._AC_UY218_.jpg,,₹518380.00,Organic
"Dell Alienware x15 R1 Gaming Laptop, Intel Core...",https://m.media-amazon.com/images/I/61J++6x4ezL._AC_UY218_.jpg,,₹247990.00,Organic
HP Business Laptop (2026) AMD Ryzen 5 7535U...,https://m.media-amazon.com/images/I/51JfDmvAvkL._AC_UY218_.jpg,5.0 out of 5 stars,₹47150.00,Organic
"Lenovo IdeaPad Slim 3, 13th Gen Intel Core...",https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg,4.2 out of 5 stars,₹74990.00,Ad
"Alienware 16X Aurora Gaming Laptop, AI Enabled Intel...",https://m.media-amazon.com/images/I/71dwZTo0yUL._AC_UY218_.jpg,,₹239490.00,Organic
Lenovo Legion 5 2025 AMD Ryzen 7 260...,https://m.media-amazon.com/images/I/81bFm8boj5L._AC_UY218_.jpg,3.1 out of 5 stars,₹161500.00,Organic
acer TravelLite Thin Laptop AMD Ryzen 3 5400U...,https://m.media-amazon.com/images/I/71VR5f3I7pL._AC_UY218_.jpg,1.0 out of 5 stars,₹40990.00,Organic
Apple 2026 MacBook Pro Laptop with M5 Pro...,https://m.media-amazon.com/images/I/61+jOMbYhYL._AC_UY218_.jpg,5.0 out of 5 stars,₹291300.00,Organic
Lenovo Legion 7 2025 Intel Core Ultra 9...,https://m.media-amazon.com/images/I/71QW0QofZeL._AC_UY218_.jpg,,₹232490.00,Organic
"Lenovo LOQ Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz...",https://m.media-amazon.com/images/I/817OmCfodvL._AC_UY218_.jpg,3.0 out of 5 stars,₹96484.00,Organic
"Lenovo Legion 7 Intel Core i9-12900HX 16"" (40.64cm)...",https://m.media-amazon.com/images/I/81i0-7HgSmL._AC_UY218_.jpg,5.0 out of 5 stars,₹376990.00,Organic
"ASUS ROG Strix SCAR 18,Intel Core Ultra 9...",https://m.media-amazon.com/images/I/61Rq2G4xnwL._AC_UY218_.jpg,,₹499990.00,Organic
"Lenovo Legion 9 Intel Core i9-13980HX 16"" (40.64cm)...",https://m.media-amazon.com/images/I/71504Quh3sL._AC_UY218_.jpg,2.6 out of 5 stars,₹449664.00,Organic
"ASUS TUF A15 (2026),AMD Ryzen 7 170, RTX...",https://m.media-amazon.com/images/I/61HKuSjpWcL._AC_UY218_.jpg,,₹99990.00,Organic
"HP Victus, Intel Core 7 240H, 8GB RTX...",https://m.media-amazon.com/images/I/71cW4VF6BkL._AC_UY218_.jpg,4.1 out of 5 stars,₹124319.00,Organic
"HP Omen, AMD Ryzen AI 7 350, 8GB...",https://m.media-amazon.com/images/I/71L-15NzerL._AC_UY218_.jpg,4.5 out of 5 stars,₹156990.00,Organic
"MSI Cyborg 15, Intel 12th Gen. i5-12450H, 40CM...",https://m.media-amazon.com/images/I/61UQ4m-H+yL._AC_UY218_.jpg,4.6 out of 5 stars,₹68990.00,Organic
"ASUS TUF A16,AMD Ryzen 9 8940HX, Gaming Laptop(RTX...",https://m.media-amazon.com/images/I/71vog9Fy81L._AC_UY218_.jpg,4.7 out of 5 stars,₹189990.00,Organic
HP 14 AI PC Intel Core Ultra 7...,https://m.media-amazon.com/images/I/71+5idlIHgL._AC_UY218_.jpg,3.9 out of 5 stars,₹88390.00,Organic
"ASUS ROG Strix G16 (2025), AMD Ryzen 9...",https://m.media-amazon.com/images/I/71KmP-oCBBL._AC_UY218_.jpg,3.8 out of 5 stars,₹159990.00,Organic
"Acer Aspire Lite, AMD Ryzen 3-7330U, Office 2024...",https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,,₹44990.00,Organic
